job_title,company_name,company_desc,job_desc,job_requirement,salary,location,employment_type,department,label
Telemarketer/Sales Agent,Eirchiv Energy Consult Ltd,Sales,Cold calling a list of potential clients and customers to describe a product or service they might be interested in.,"Excellent communication and presentation skills.,Proficient in English.,Skilled in negotiation and dealing with complaints.,Persistent and results-oriented.,Patient and able to handle customer rejection.","Less than 75,000",Rest of Nigeria (Delta),Full Time,"Mining, Energy & Metals",0
Software Engineer,Future Academy Africa,IT,Developing and maintaining software that meets clients needs,"Bachelor's degree in Computer Science, Software Engineering or related field. 3+ years experience in software development or related field.  Proficient in programming","150,000 - 250,000",Remote (Work From Home),Full Time,Technology,0
Legal Officer,Equity Model Limited,Legal Services,Monitor changes in relevant legislation and the regulatory environment and take appropriate action.,"0 - 1 year of experience,The age range is 22 - 30 years,Minimum academic qualification of LLB. and BL,The candidate must be creative and initiative and can work under pressure and deliver in a timely manner.","75,000 - 150,000",Lagos,Full Time,Law & Compliance,0
Sales Officer,Shopnext supplement store,Sales,"Present, promote, and sell products/services using solid arguments to existing and prospective customers","At least 1 year of working experience,Minimum academic qualification of SSCE / OND,Excellent knowledge of MS Office.","Less than 75,000",Lagos,Full Time,Healthcare,0
Finance Writer,Carmudi Nigeria,Marketing & Communications,You will be required to create at least two Articles per day (News or Guide).,"Proven experience writing content related to crypto, stocks, or trading,Experience working with WordPress CMS is highly beneficial for posting/ producing content,Knowledge of on-page SEO and keyword tools beneficial,Fluent speaker and communicator of the English language.","150,000 - 250,000",Lagos,Full Time,IT & Telecoms,0
Sales Executives,Moex Consult,Sales,Conduct market research to identify selling opportunities in the target market.,"Minimum of 2 years experience in Real Estate Sales,Competency in English,Knowledge of MS Office software and CRM software.","Less than 75,000",Lagos,Full Time,"Retail, Fashion & FMCG",0
Contractor Manager,DIXIhiring LLC,Sales,Attracting new contractors (recruitment agencies in India).,"Good English,Work experience in (any item listed is enough): purchasing manager, sales manager, or customer service manager. I.e. almost any experience involving building relationships with contractors and subsequent work with them.,High efficiency.","300,000 - 500,000",Lagos,Full Time,Recruitment,0
Senior Project Officer,Copen Group,Product & Project Management,Manage a portfolio of complex initiatives that span one or multiple lines of business,"Proven success in providing on-site leadership for project team by building and motivating team members to meet project goals, adhering to their responsibilities and project milestones, Performance reviews, and staff development","150,000 - 250,000",Enugu,Full Time,Real Estate,0
Lead Recruiter,DIXIhiring LLC,Human Resources,At least 3 years of experience in filling vacancies (HealthCare) with at least 1 year of Lead recruiter experience (HealthCare) in USA,"Hiring new recruiters,Control over the work of recruiters,Training of new personnel",1500 - 2500,Remote (Work From Home),Full Time,Recruitment,0
Medical Sales Representative,Sylken Ltd,Medical & Pharmaceutical,Researching competitors’ medications and their respective market performances and reporting from time to time to the marketing team.,"Minimum academic qualification of a Diploma in a medical field,Excellent verbal and written communication skills,Excellent teamwork and networking skills,Strong organizational and time management skills,Highly motivated and the target is driven with a proven track record in sales.","75,000 - 150,000",Rest of Nigeria (Anambra),Full Time,Healthcare,0
Operations Lead,THE SHRED STATION,Engineering & Technology,Solely responsible for the smooth running of shredding projects,"Minimum academic qualification of an OND Degree in any discipline,Experience in mechanical equipment operations and troubleshooting,Owns a Driving License,An added benefit of marketing skills,Excellent communication skills,Able to work independently,Computer literate (Word/Excel/Social Media),Smart with great Interpersonal skills.,Good communication skills,Critical reasoning ability,Ability to use initiative,Resourcefulness","Less than 75,000",Lagos,Full Time,Shipping & Logistics,0
Marketing Manager,O'NEAL INCORPORATED,Marketing,Oversee marketing initiatives,Bachelor's Degree in Marketing or related field,"350,000","1 Babatunde Street, Off Ogunlana Drive, Surulere, Lagos State ",Full Time,Marketing,1
Website Graphic Designer (Freelancer),Smart Child Zone,Engineering & Technology,Study design briefs and determine requirements,"Minimum academic qualification of HND/BSc Degree in any field,Proven graphic designing experience,Knowledge of HTML and CSS,A portfolio of illustrations or other graphics,Familiarity with design software and technologies (such as InDesign, Illustrator, Dreamweaver, Photoshop, etc),A keen eye for aesthetics and details,Excellent communication skills,Ability to work methodically and meet deadlines","75,000 - 150,000",Rest of Nigeria (Nationwide),Contract,IT & Telecoms,0
Medical Sales Representative,Sylken Ltd,Medical & Pharmaceutical,Researching competitors’ medications and their respective market performances and reporting from time to time to the marketing team.,"Minimum academic qualification of a Diploma in a medical field,Excellent verbal and written communication skills,Excellent teamwork and networking skills,Strong organizational and time management skills,Highly motivated and the target is driven with a proven track record in sales.","75,000 - 150,000",Enugu,Full Time,Healthcare,0
Principal Project Officer,Copen Group,Product & Project Management,"Plan, prioritize, and oversee project management activities in an effective manner.","Minimum academic qualification of HND in any discipline,Good coordination skills,Good inter-relationship skill","250,000 - 400,000",Enugu,Full Time,Real Estate,0
Computer Operator,Capsgain Solutions,Creative & Design,Regular cafe operations,"Minimum academic qualification of an OND certificate,The operator must have relevant knowledge of the use of office applications such as Corel Draw, and Microsoft Word.,Ability to attend to work without supervision,Good teamwork and collaboration skills,Experience in business support center management will be added advantage","Less than 75,000",Lagos,Full Time,"Advertising, Media & Communications",0
Sales Executive,New Star Metal International Limited,Manufacturing,"Meet customer acquisition and revenue growth targets. Responsible for developing new business opportunities, managing customer relationships, and negotiating contracts.",Minimum of Bachelor's degree in Marketing or Business Administration - Proven sales experience - Excellent communication and negotiation skills - Ability to work independently and in a team environment,"150,000 - 250,000","Kosofe, Lagos State",Full-time,Sales,1
Fulfilment Officer,U&I Artistry,Supply Chain & Procurement,Process all orders and ship them out.,"Minimum academic qualification of OND Degree in any related  discipline,Minimum of 2 years of work experience.,Good teamwork skills,Ability to work under pressure","Less than 75,000",Lagos,Full Time,"Retail, Fashion & FMCG",0
Software Developer,SYNCREV CAREERS CORPORATE AND CONSULTANCY,IT,Design and develop software solutions for our clients.,"Bachelor's degree in Computer Science, Software Engineering or related field. 3+ years experience in software development or related field.  Proficient in programming languages such as Java, Python or C#. Knowledge of software development methodologies such as Agile or Waterfall.","250,000 - 400,000 ",Remote (Work From Home),Full-time,Information Technology,1
DFP Expert,Jobberman (Third Party Recruitment),Marketing & Communications,Manage Google ads and publish on required platforms.,"Minimum academic qualification of HND/BSc in any discipline,2 years and above of work experience,Certification in Google digital marketing platforms, Internet Technology networking and management systems,,Audiovisual editing, graphics, and general broadcast content management are the skills required.","150,000 - 250,000",Abuja,Full Time,IT & Telecoms,0
Nurse Practitioner,Crystalite Care Ventures,Healthcare and Wellness Organization,Provide high-quality patient care.,"Bachelor's degree in nursing or a related field, certification as a Nurse Practitioner, 3+ years of experience in a clinical setting, excellent communication and interpersonal skills",Competitive salary based on experience,"Ibadan Road, Ibadan South-West, Oyo State",Full-time,Nursing,1
Marketing Manager,NSMI GLOBAL CONCEPT,Adverstiment ,"Developing and implementing marketing strategies, managing advertising campaigns, conducting market research and analysis, creating and maintaining client relationships","Bachelor's degree in Marketing, Advertising or related field, experience in marketing or advertising, excellent communication and interpersonal skills, ability to work in a team","200,000 - 250,000","No. 1-6, Alhaji Lateef Sulaimon Street, Opposite Owode-Onirin Market, Kosofe, Lagos State",Full-time,Marketing,1
Marketing Manager,VIRTUAL HUMAN RESOURCES,Recruitment,"Develop and implement marketing strategies and campaigns, manage social media and online platforms, and generate leads for the business.","Minimum of Bachelor's degree in Marketing or related field, experience in marketing, knowledge of marketing tools and techniques, creativity and innovation.","200,000 - 300,000","Oshodi, Lagos State",Full-time,Marketing,1
Business Development/sales officer,Mikacomic Nigeria Limited,Management & Business Development,"Maintaining up-to-date knowledge of products and services, including competition offerings.","Recent graduate with post-NYSC certificate,Must be intelligent with analytical reasoning and ability to be independent on the job role in a very short time, concise essay writing, quantitative reasoning with figures, and good essay writing.","Less than 75,000",Abuja,Full Time,IT & Telecoms,0
Production Manager.,Bons Industries Limited,Management & Business Development,Engage in the planning and implementation of the production process.,"Minimum academic qualification of BSC/HND in Polymer Engineering and another related discipline.,Minimum of 5yrs work experience gained in a Plastic/Polythene (PE) firm.,Applicant must possess sound industrial knowledge of PE film blowing machine, Injection machine, & Blow.,Higher qualifications or Professional certificates will be an added advantage.","150,000 - 250,000",Enugu,Full Time,Manufacturing & Warehousing,0
IT Support Specialist,VISION TECHNOLOGIST RESOURCES,IT,"Installing and configuring software and hardware, troubleshooting technical issues, maintaining and upgrading systems, providing technical support to users","Minimum of Bachelor's degree in Computer Science, Information Technology or related field, knowledge of computer systems and networks, experience in IT support or similar role","150,000 - 200,000",Lagos State,Full-time,Information Technology,1
Sales Executive,Locus Real Estate,Sales,Research and recommend prospects for new business opportunities,"Minimum of 2 years experience in Real Estate Sales,Competency in English,Knowledge of MS Office software and CRM software.","Less than 75,000",Lagos,Full Time,Real Estate,0
Business Development Executive,THE SHRED STATION,Management & Business Development,Lead Initiatives to expand the customer base,"Minimum academic qualification of HND Degree in any field,Previous experience in a business development /Sales role  is a must,Excellent communication skills,Able to work independently,Computer literate (Word/Excel/PowerPoint/ Canva/Social Media),Smart with great Interpersonal skills.,Good communication skills,Critical reasoning ability,Ability to use initiative,Strong Organisational skills,Confident and Proactive.","75,000 - 150,000",Lagos,Full Time,Shipping & Logistics,0
Grade Teacher,Divine Pillar Academy,"Research, Teaching & Training",Planning & preparing a complete teaching plan that caters to the needs of the ability range of the class,"0 - 3 years of teaching experience,Academic qualification of an NCE or relevant license/teaching certificate,Creative and artistic teaching abilities,Teaching and organization skills,Patience and flexibility,Strong communication skills.","Less than 75,000",Abuja,Full Time,Education,0
Graphic Designer,Courage Enterprises LTD,Creative & Design,Create a variety of designs across multiple projects and digital channels,"Graphic Design experience,Expert knowledge of InDesign, Illustrator, and Photoshop (Adobe creative suite),Strong conceptualization skills and creative thinking,Excellent understanding of design for online marketing,An ability to demonstrate creative style, flair, and passion for design, delivering outstanding creative and campaign concepts,An ability to manage your own workload and deliver compelling creative that hit’s the mark every time.","75,000 - 150,000",Lagos,Full Time,"Advertising, Media & Communications",0
Chief Security Officer,Central Realties Limited,Health & Safety,Direct and coordinate the activities of all security personnel.,"The candidate must have worked in a reputable security outfit for a minimum of 8 years as a CSO,,Candidate must be between the age of 45 - 50 years.,Minimum academic qualification of HND in any discipline.,The candidate must have gone through some paramilitary training.,Fluency in English in both written and spoken and the capability to follow safety and security rules and procedures without compromise at all times is essential.","150,000 - 250,000",Lagos,Full Time,Real Estate,0
Customer Service Representative,Unified Payment Services Limited,Customer Service & Support,Proficient,"Minimum academic qualification of  BSc degree  in any discipline, Minimum of 2 years of customer service experience, Ability to multitask, Excellent communication and presentation skills, Customer orientation and ability to adapt/respond to different types of characters, Strong phone contact handling skills and active listening","75, 000- 150,000",Lagos,Contract,IT & Telecoms,0
Accounts Officer,"Lohachy Farms, Epe","Accounting, Auditing & Finance",Cross-checking and matching invoices with payments and expenses to ensure accuracy,"Minimum academic qualification of HND/BSc in Accounting,3 years of work experience,Proficiency in the use of modern accounting packages,Complete understanding of accounting practices and procedures,Ability to act responsibly and ethically when working with sensitive financial information.,Analytical skill.","75,000 - 150,000",Lagos,Full Time,"Agriculture, Fishing & Forestry",0
Investment Advisor,"Achievers Uninversity, Owo",Sales,"Create and close product sale transactions to meet monthly, quarterly, and annual targets","Minimum of 2 years of experience in real estate sales,Strong negotiation skills,Excellent analytical skills,Effective communication skills,Exceptional customer service skills","75,000 - 150,000",Abuja,Full Time,Real Estate,0
Driver,Jobberman (Third Party Recruitment),Driver & Transport Services,"Keeping the vehicle clean and properly maintained by performing regular washing, cleaning, and vehicle maintenance.","This position is open preferably to a male candidate,Candidates aged between 30 - 40 years,Minimum academic qualification of Secondary School Certificate or GCE.,Valid driver’s license.,Very Smart and clean.,Clean driving record.,Sound knowledge of road safety regulations.,Working knowledge of local roads and routes in Lagos.,The ability to utilize maps, GPS systems, and car manuals.,Effective communication skills.,Punctual and reliable.,No criminal Record.","75,000 - 150,000",Lagos,Full Time,Hospitality & Hotel,0
Marketing Executive,Esther Breakthrough,Marketing and Advertising,"Developing and implementing marketing campaigns, conducting market research, and building relationships with clients.","Bachelor's degree in Marketing, Communications or related field, Proven experience in marketing or advertising, Strong communication and interpersonal skills, Ability to think creatively and strategically, Excellent organizational and time management skills",Negotiable,Lagos State,Full-time,Marketing,1
Head of Department IT,Unified Payment Services Limited,Engineering & Technology,Full documentation and standardization of all processes,"Minimum academic qualification of a Master's degree in a related discipline, At least 8 years of experience, Good Leadership skils","400,000 - 600,000",Lagos,Full Time,IT & Telecoms,0
Office Administrator,Kimeric Nigeria Ltd,Admin & Office,Minimum academic qualification of HND/Bachelor's degree in any discipline.,"Good English,Work experience in (any item listed is enough): purchasing manager, sales manager, or customer service manager. I.e. almost any experience involving building relationships with contractors and subsequent work with them.,High efficiency.","Less than 75,000",Lagos,Full Time,Energy & Utilities,0
Internal Control and Audit Officer,Opticom Finance Limited,"Banking, Finance and Auditing","Conduct daily reviews of transactions and ensure compliance with internal controls. , Conduct periodic process reviews to confirm compliance with documented procedures., Conduct periodic control tests to confirm the effectiveness of internal controls., Conduct daily calls of transactions and prepare the call-over report., Recommend new controls to minimize risks and improve the internal control framework., Design and implement the audit plan, and conduct the periodic transaction and procedural audits., Monitor and track compliance with statutory and regulatory requirements, and escalate non-compliance to the Board of Directors., Monitor and track compliance with Service Level Agreements., Prepare reports required for management decisions including the KYC report, Credit report, Fraud & Forgeries reports, and Anti-Money Laundering (AML) report.","Minimum academic qualification of BSc. or HND degree in Accounting or any related discipline., Minimum of 1 - 2 years post-qualification experience., Excellent written and oral communication skills., Technology savvy, and high level of proficiency in MS. Office (particularly MS. Excel)",Confidential,Lagos,Full Time,"Accounting, Auditing & Finance",0
Marketing Manager,IGNITLYTE LIMITED COMPANY,Marketing and Sales,Develop and implement marketing strategies for our clients.,"Minimum of Bachelor's degree in Marketing, Business Administration or related field. 5+ years experience in marketing or related field. Strong leadership and communication skills.Ability to analyze market trends and data.","350,000 -500,000","Suite 201, Philez Plaza, 02, Osolo Way, No. 7/8 Bus/Stop, off Murtala Mohammed Airport Road, beside Keystone Bank, Ikeja, Lags State",Full-time,Marketing,1
Oil and Gas Engineer,Global Oil Consult,Oil and Gas,"Provide technical expertise to clients. Designing, testing, and evaluating oil and gas production equipment and systems.",Bachelor's degree in Petroleum Engineering or related field - Proven experience as an Oil and Gas Engineer or similar role - Strong understanding of oil and gas production equipment and systems - Excellent problem-solving skills,"250,000 - 500,000","Ikeja, Lagos State",Full-time,Engineering,1
Superintendent Pharmaceutical Officer,Jenjil Nig Ltd,Medical & Pharmaceutical,Studying scientific and legal documents,"Minimum academic qualification of a Bachelor’s degree in pharmacy,,At least 2 years of proven post-NYSC experience,Outstanding knowledge of Microsoft Office and Pharmacy information system,Good organizing skills,Excellent communication skills with a customer-oriented approach,Integrity and compassion,Valid license to practice the profession,Excellent leadership skills.,IT skills,Negotiation skills,Analytical skills,Time management skills,Problem-solving skills,Presentation skills,Interpersonal communication skills.","75,000 - 150,000",Lagos,Full Time,Healthcare,0
Software Developer,Vision Technologist Resources,IT,Developing and maintaining high-quality software that meets our clients' needs.,"Minimum of Bachelor's degree in Computer Science or related field - Proficiency in Java, C++, or Python - Experience with Agile development methodologies - Excellent problem-solving skills","200,000 - 400,000",Remote (Work From Home),Full-time,Software Development,1
Accountant,Few Platform Plus Resource,"Accounting, Auditing & Finance","Managing financial transactions, preparing financial reports, and providing financial advice to clients.","Bachelor's degree in Accounting or a related field , At least 3 years of experience in accounting ,Strong analytical skills ,Excellent communication skills , Experience in financial analysis","200,000 -250,000 ",Lagos State,Full-time,Accounting,1
Customer Service Representative,Oriental Hill,Retail,Assist customers with their inquiries and complaints.,"Proven experience as a Customer Service Representative ,Excellent communication skills , Ability to work in a fast-paced environment , High school diploma or equivalent is required, E164 degree is preferred","100,000 -150,000",Remote (Work From Home),Full-time,Customer Service,1
Medical Sales Representative,Sylken Ltd,Medical & Pharmaceutical,Researching competitors’ medications and their respective market performances and reporting from time to time to the marketing team.,"Minimum academic qualification of a Diploma in a medical field,Excellent verbal and written communication skills,Excellent teamwork and networking skills,Strong organizational and time management skills,Highly motivated and the target is driven with a proven track record in sales.","75,000 - 150,000",Rest of Nigeria (Bayelsa),Full Time,Healthcare,0
Restaurant Shift Manager,Uncle Stan's Foods,Food Services & Catering,Delegate tasks to restaurant staff and supervise their performance.,"Minimum of 3 years of working experience,Ability to multitask,Good communication skills","75,000 - 150,000",Lagos,Full Time,Hospitality & Hotel,0
Sales Representative,Ashglow organic and spa,Sales,"Present, promote, and sell products/services using solid arguments to existing and prospective customers","Field marketing,Minimum academic qualification of OND/HND in any discipline.,Proven work experience as a sales representative,Excellent knowledge of MS Office and excel,Relationship management skills and openness to feedback.","Less than 75,000",Lagos,Full Time,Healthcare,0
PHE Teacher,Vivian Fowler Memorial College For Girls,"Research, Teaching & Training",The candidate will teach Year 7 - Year 12 students.,"A minimum academic qualification of a bachelor's degree in PHE education or a related field from an accredited college or university is necessary.,At least 2 years of experience,Good work ethics,Articulate,,Good team player,,Progressive and willing to learn and grow.,Excellent verbal, written, and telephonic communication.,Good interpersonal skills.,Positive attitude and professional manner.","75,000 - 150,000",Lagos,Full Time,Education,0
Accounting Clerk,Virtual Human Resources,Human Resources,"Provide accounting and clerical support to the accounting department. Maintaining accurate financial records, processing invoices, and reconciling bank statements.",Minimum of Bachelor's degree in Accounting or Finance - Proven accounting experience - Excellent organizational and time management skills - Attention to detail,"80,000 - 120,000","Oshodi, Lagos State",Full-time,Accounting,1
Software Developer,WILLIAMS CONSULT,IT,"Developing software solutions, working with different programming languages and frameworks, and collaborating with cross-functional teams.","Minimum of Bachelor's degree in Computer Science or related field, Proficiency in programming languages such as Java, Python, and Ruby, Experience with software development frameworks such as React, Angular, and Vue<br>- Strong problem-solving and analytical skills<br>- Excellent communication and collaboration abilities",Negotiable,"No. 73, Akerele Street, Surulere, Lagos State",Full-time,Technology,1
Human Resources Officer,Makarios Consulting Services,Human Resources,Manage HR functions,"Minimum academic qualification of a bachelor's degree/HND in any discipline.,1 - 2 years of experience in an HR/Admin role,Knowledge of office procedures,Proficient in basic computer skills (MS Office Tools, Google Tools),Basic phone etiquette","75,000 - 150,000",Port Harcourt & Rivers State,Full Time,Construction,0
Accountant,PHILBAN CONSULTING,"Accounting, Auditing & Finance","Preparing and maintaining financial records, managing accounts payable and receivable, reconciling bank statements, preparing financial statements and reports","Minimum of Bachelor's degree in Accounting or Finance, knowledge of accounting software and Microsoft Office, ability to analyze financial data, attention to detail","150,000 - 200,000","No. 64 Toyin Street, Opebi-Toyin, Ikeja, Lagos State",Full-time,Accounting,1
Graduate trainee,Successful Business Consult,Management & Business Development,Gathering as much information on the company and participating in on-the-job training wherever possible.,"Previous work experience is not necessary, but may be advantageous.,Be teachable and ready to learn new things.,Excellent written and verbal communication skills.,Excellent research abilities and a willingness to grow.,A positive attitude and a growth mindset.","75,000 - 150,000",Lagos,Full Time,"Agriculture, Fishing & Forestry",0
Customer Service Representative,GRACE LAND GLOBAL RESOURCES,Logistics,"Resolve complaints, and provide information about our services.","Bachelor's degree in Business Administration or related field, experience in customer service","Less than 250,000",Remote (Work From Home),Full-time,Customer Service,1
Admin/HR Assistant,Realty Point Limited,Admin & Office,"Ensuring office supplies are maintained, including checking inventory and working with vendors to ensure adequate levels of necessary supplies at all times","Minimum academic qualification of OND in any relevant field of study,1 - 2 years of experience.,Prior experience in a similar role is an added advantage,Strong communication skills,Interpersonal and people management skills,Strong numeracy skills,Proven experience as Admin, HR assistant, or similar role,Excellent written and oral communication skills,Proficient in English,Proficient in the use of Microsoft Office,Strong negotiation and dealing with complaints,Persistent and results-oriented,Empathy and firmness,Self-motivated and self-driven.","Less than 75,000",Lagos,Full Time,Real Estate,0
Accountant,Jobberman (Third Party Recruitment),"Accounting, Auditing & Finance",Handling all accounts payable and receivable.,"Minimum academic qualification of a Bachelor's degree in accounting or a related field.,2 years of relevant work experience.,Strong analytical and excel skills,Excellent communication and reporting skills.,Superb attention to detail and good organizational skills.,Ability to work under pressure and meet tight deadlines.,Solid proficiency in MS Suits,Strong working knowledge of accounting practices and principles.,Outstanding interpersonal skills.","75,000 - 150,000",Lagos,Full Time,Recruitment,0
Marketing Manager,HOME PLACES CONSULT,Real Estate,"Develop and implement marketing strategies, manage marketing campaigns, create marketing materials, oversee social media.","Bachelor's degree in Marketing, Business Administration, or a related field. At least 3 years of experience in marketing. Excellent communication skills.","150,000 - 250,000","Surulere, Lagos State",Full-time,Marketing,1
Project Manager,HOME PLACES CONSULT,Management & Business Development,Oversee construction projects,Bachelor's Degree in Engineering or related field,"400,000",Lagos,Full Time,Construction,1
Accountant,Jobberman (Third Party Recruitment),"Accounting, Auditing & Finance",Handle postings of all accounting transactions.,"This position is open preferably to a female candidate,Minimum academic qualification of a first degree, BSc/HND in Accounting.,ACA/ACCA (Chartered Accountant) Certification.,3 - 5 years of work experience in a Chartered Accounting Firm.,Experience in financial reporting,Excellent research and reporting skills.,Detail-oriented and time management skills.","250,000 - 400,000",Abuja,Full Time,IT & Telecoms,0
Customer Care Representative,CAKES AND CREAM,Customer Service & Support,Manage large amounts of incoming calls,"Minimum academic qualification of a BSc/ equivalent in any field,Must have completed NYSC,Male /female,Experience in customer service","75,000 - 150,000",Lagos,Full Time,Hospitality & Hotel,0
Business Development Manager,BETA AGE,Management & Business Development, Conduct research to identify business opportunities and evaluate market trends. Develop and implement business strategies to achieve growth objectives.Establish and maintain relationships with clients and partners. Coordinate and manage projects from start to finish. Analyze financial data and prepare reports. Attend meetings and networking events. ,"Minimum of Bachelor's degree in Business Administration or any related field, Minimum of 5 years of experience in business development or related field. Good knowledge of business operations, marketing, and financial management, Strong interpersonal and communication skills, Ability to work independently and in a team environment, Proficient in the use of Microsoft Office tools.","150,000",Lagos,Full Time,Business Development,1
Driver,Damiltec Nig. Enterprises,Driver & Transport Services,Operate company vehicles to make pickups and drop off,"Minimum academic qualification of School certificate or Neco,5 years of driving experience in a professional capacity,Possession of a valid driver’s license,Clean driving record for at least one year,Ability to drive for extended periods,Strong commitment to safety,Excellent navigational skills,Good communication (English language) and interpersonal skills,Ability to be able to drive manual and automatic,Driver with an Android phone and a Christian,Experienced using GPS technology,Ability to perform basic vehicle maintenance,Candidates Aged between  35 - 45 years","Less than 75,000",Lagos,Full Time,IT & Telecoms,0
